tick,note,channel
39.5644,69,2.0
39.571,69,2.0
39.5776,69,2.0
39.5842,69,2.0
39.5908,69,2.0
39.5974,69,2.0
39.604,69,2.0
39.6106,69,2.0
39.6172,69,2.0
39.6238,69,2.0
39.6304,69,2.0
39.637,69,2.0
39.6436,69,2.0
39.6502,69,2.0
39.6568,69,2.0
39.6634,69,2.0
39.67,69,2.0
39.6766,69,2.0
39.6832,69,2.0
39.6898,69,2.0
39.6964,69,2.0
39.703,69,2.0
39.7096,69,2.0
39.7162,69,2.0
39.7228,69,2.0
39.7294,69,2.0
39.736,69,2.0
39.7426,69,2.0
39.7492,69,2.0
39.7558,69,2.0
39.7624,69,2.0
39.769,69,2.0
39.7756,69,2.0
39.7822,69,2.0
39.7888,69,2.0
39.7954,69,2.0
39.802,69,2.0
39.8086,69,2.0
39.8152,69,2.0
39.8218,69,2.0
39.8284,69,2.0
39.835,69,2.0
39.8416,69,2.0
39.8482,69,2.0
39.8548,69,2.0
39.8614,69,2.0
39.868,69,2.0
39.8746,69,2.0
39.8812,69,2.0
39.8878,69,2.0
39.8944,69,2.0
39.901,69,2.0
39.9076,69,2.0
39.9142,69,2.0
39.9208,69,2.0
39.9274,69,2.0
39.934,69,2.0
39.9406,69,2.0
39.9472,69,2.0
39.9538,69,2.0
39.9604,69,2.0
39.967,69,2.0
39.9736,69,2.0
39.9802,69,2.0
39.9868,69,2.0
39.9934,69,2.0
40.0,69,2.0
40.0066,69,2.0
40.0132,69,2.0
40.0198,69,2.0
40.0264,69,2.0
40.033,69,2.0
40.0396,69,2.0
40.0462,69,2.0
40.0528,69,2.0
40.0594,69,2.0
40.066,69,2.0
40.0726,69,2.0
40.0792,69,2.0
40.0858,69,2.0
40.0924,69,2.0
40.099,69,2.0
40.1056,69,2.0
40.1122,69,2.0
40.1188,69,2.0
40.1254,69,2.0
40.132,69,2.0
40.1386,69,2.0
40.1452,69,2.0
40.1518,69,2.0
40.1584,69,2.0
40.165,69,2.0
40.1716,69,2.0
40.1782,69,2.0
40.1848,69,2.0
40.1914,69,2.0
40.198,69,2.0
40.2046,69,2.0
40.2112,69,2.0
40.2178,69,2.0
40.2244,69,2.0
40.231,69,2.0
40.2376,69,2.0
40.2442,69,2.0
40.2508,69,2.0
40.2574,69,2.0
40.264,69,2.0
40.2706,69,2.0
40.2772,69,2.0
40.2838,69,2.0
40.2904,69,2.0
40.297,69,2.0
40.3036,69,2.0
40.3102,69,2.0
40.3168,69,2.0
40.3234,69,2.0
40.33,69,2.0
40.3366,69,2.0
40.3432,69,2.0
40.3498,69,2.0
40.3564,69,2.0
40.363,69,2.0
40.3696,69,2.0
40.3762,69,2.0
40.3828,69,2.0
40.3894,69,2.0
40.396,69,2.0
40.4026,69,2.0
40.4092,69,2.0
40.4209,69,2.0
40.4209,69,2.0
40.4275,69,2.0
