Part Number,Description,Category,Quality Control Group,Material Cost
CBA102,Bottles 250cc White PET PPT,Bottle,07 Packaging Component,0.22
CBA103,Bottles 250cc White HDPE (45-400),Bottle,07 Packaging Component,0.20
CBA104,Bottles 250cc White PET,Bottle,07 Packaging Component,0.24
CBA105,250cc WHT PET PZ 45-400,Bottle,,0.16
CBA106,Bottles 25oz Black PET Alpha,Bottle,07 Packaging Component,0.41
CBA107,Bottles 25oz Black PET (89-400) Canyon Plastics,Bottle,07 Packaging Component,0.49
CBA108,25oz BLK PET 89-400,Bottle,,0.00
CBA109,Bottles 25oz Black HDPE Canyon Plastics,Bottle,07 Packaging Component,0.51
CBA110,Bottles 25oz Clear PET,Bottle,07 Packaging Component,0.76
CBA111,Bottles 25oz Cobalt Blue PET (89-400),Bottle,07 Packaging Component,0.51
CBA112,Bottles 25oz Dark Amber PET (89-400) Resilux,Bottle,07 Packaging Component,0.41
CBA113,Bottles 25oz Dark Amber PET Alpha,Bottle,07 Packaging Component,0.45
CBA114,Bottles 25oz Light Amber PET,Bottle,07 Packaging Component,0.79
CBA115,Bottles 25oz White PET (89-400),Bottle,07 Packaging Component,0.78
CBA116,Bottles 25oz White PET (89-400) Canyon Plastics,Bottle,07 Packaging Component,0.52
CBA117,Bottles 25oz White HDPE (89-400),Bottle,07 Packaging Component,0.31
CBA118,Bottles 2oz Clear PET,Bottle,07 Packaging Component,0.00
CBA119,2oz Clear PET Cosmo Round (20-410),Bottle,,0.00
CBA120,Bottles 3000cc Clear PET,Bottle,07 Packaging Component,1.12
CBA121,Bottles 300cc Black HDPE (45-400) Alpha Med,Bottle,07 Packaging Component,0.24
CBA122,Bottles 300cc Black HDPE Alpha Packaging,Bottle,07 Packaging Component,0.40
CBA123,Bottles 300cc Clear PET,Bottle,07 Packaging Component,0.22
CBA124,Bottles 300cc Cobalt Blue PET Round Packer,Bottle,07 Packaging Component,0.24
CBA125,Bottles 300cc Black PET,Bottle,07 Packaging Component,0.41
CBA126,Bottles 300cc Dark Amber PET 100% PCR Round Packer,Bottle,07 Packaging Component,0.24
CBA127,300cc DA Post Consumer Recycled,Bottle,,0.00
CBA128,Bottles 300cc Light Amber PET,Bottle,07 Packaging Component,0.33
CBA129,300cc White PET Packer,Bottle,,0.30
CBA130,Bottles 300cc White HDPE Packer,Bottle,07 Packaging Component,0.29
CBA131,300cc WHT PET,Bottle,,0.00
CBA132,Bottles 300cc White PET PPT (45-400),Bottle,07 Packaging Component,0.34
CBA133,Bottles 300cc White PET PZ,Bottle,07 Packaging Component,0.00
CBA134,Bottles 32oz Clear PET,Bottle,07 Packaging Component,0.00
CBA135,Bottles 32oz Black HDPE (120-400),Bottle,07 Packaging Component,0.72
CBA136- inactive,32oz Black HDPE (89-400)-inactive,Bottle,,0.53
CBA137,Bottles 32oz Black HDPE CBM (100-400),Bottle,07 Packaging Component,0.55
CBA138,Bottles 32oz Black PET,Bottle,07 Packaging Component,0.50
CBA139,Bottles 32oz Black HDPE (89-400),Bottle,07 Packaging Component,0.41
CBA140,Bottles 32oz Clear PET,Bottle,07 Packaging Component,0.61
CBA141,Bottles 32oz Light Amber PET,Bottle,07 Packaging Component,0.73
CBA142,Bottles 32oz Silver Metalic PET,Bottle,07 Packaging Component,0.00
CBA143,Bottles 32oz White HDPE Round,Bottle,07 Packaging Component,0.42
CBA144,Bottles 32oz White PET Canyon Plastics,Bottle,07 Packaging Component,0.66
CBA145,Bottles 13 1/4 x 7 3/16 x 9 1/2,Bottle,07 Packaging Component,0.45
CBA146,Bottles 400cc Black HDPE (45-400),Bottle,07 Packaging Component,0.44
CBA147,Bottles 400cc Dark Amber PET,Bottle,07 Packaging Component,0.21
CBA148,Bottles 400cc White HDPE,Bottle,07 Packaging Component,0.29
CBA149,Bottles 400cc White PET,Bottle,07 Packaging Component,0.22
CBA150,Bottles 43oz Black HDPE Canister (100-400),Bottle,07 Packaging Component,0.50
CBA153,Bottles 44oz Black HDPE,Bottle,07 Packaging Component,0.53
CBA154,Bottles 44oz White HDPE,Bottle,07 Packaging Component,0.72
CBA155,Bottles 46oz Black HDPE,Bottle,07 Packaging Component,0.00
CBA156,Bottles 4oz Clear PET,Bottle,07 Packaging Component,0.00
CBA157,Bottles 4oz White PET,Bottle,07 Packaging Component,0.23
CBA158,Bottles 500cc Black HDPE (53-400),Bottle,07 Packaging Component,0.00
CBA159,Bottles 500cc Clear PET,Bottle,07 Packaging Component,0.35
CBA160,Bottles 500cc Cobalt Blue PET,Bottle,07 Packaging Component,0.30
CBA161,500cc DA PET,Bottle,,0.00
CBA162,Bottles 500cc Dark Amber PET Packer (45-400) TALL,Bottle,07 Packaging Component,0.38
CBA163,Bottles 500cc Dark Amber PET Packer (45-400) Alpha,Bottle,07 Packaging Component,0.35
CBA164,Bottles 500cc Dark Amber PW-PET (45-400) Tim Plastics,Bottle,07 Packaging Component,0.47
CBA165,Bottles 500cc White HDPE,Bottle,07 Packaging Component,0.26
CBA166,Bottles 500cc White HDPE Round Packer (53-400) PH-LINE,Bottle,07 Packaging Component,0.36
CBA167,Bottles 55oz Black HDPE (120-400),Bottle,07 Packaging Component,0.56
CBA168,Bottles 55oz White HDPE (120-400),Bottle,07 Packaging Component,0.68
CBA169,6 Count PH-D FOL,Bottle,,0.25
CBA170,Bottles 60cc White HDPE Round Packer,Bottle,07 Packaging Component,0.05
CBA171,Bottles 60cc White HDPE (33-400),Bottle,07 Packaging Component,0.00
CBA172,Bottles 625cc Clear (53-400),Bottle,07 Packaging Component,0.30
CBA173,Bottles 625cc Dark Amber PET,Bottle,07 Packaging Component,0.40
CBA174,Bottles 625cc White HDPE,Bottle,07 Packaging Component,0.46
CBA175,Bottles 6oz Black PET (70-400),Bottle,07 Packaging Component,0.33
CBA176,6oz Dark Amber PET,Bottle,,0.00
CBA177,6oz White,Bottle,,0.00
CBA179,Bottles 70oz White PET,Bottle,07 Packaging Component,0.00
CBA180,Bottles 750cc Dark Amber PET (750-53),Bottle,07 Packaging Component,0.44
CBA181,Bottles 75cc White PET Round Packer,Bottle,07 Packaging Component,0.14
CBA182,Bottles 85oz Black PET (110-400),Bottle,07 Packaging Component,1.36
CBA183,Bottles 85oz Clear PET(110-400),Bottle,07 Packaging Component,0.87
CBA184,Bottles 85oz White PET (110-400),Bottle,07 Packaging Component,1.17
CBA185,Bottles 8oz Black PET (70-400),Bottle,07 Packaging Component,0.35
CBA186,Bottles 8oz Black HDPE,Bottle,07 Packaging Component,0.36
CBA187,Bottles 8oz Clear PET,Bottle,07 Packaging Component,0.26
CBA188,Bottles 8oz Clear PET (Alpha),Bottle,07 Packaging Component,0.00
CBA189,Bottles 8oz Dark Amber PET (70-400),Bottle,07 Packaging Component,0.25
CBA190,Bottles 8oz White HDPE,Bottle,07 Packaging Component,0.49
CBA191,Bottles 8oz White PET (70-400),Bottle,07 Packaging Component,0.38
CBA192,Bottles 16oz Natural HDPE (89-400) Wide Mouth,Bottle,07 Packaging Component,0.40
CBA193,Bottles 32oz Natural HDPE (100-400) 30ct,Bottle,07 Packaging Component,0.49
CBA194,Bottles 46oz Natural HDPE (100-400) 60ct,Bottle,Multiple,0.67
CBA195,Bottles 400cc Clear PET,Bottle,07 Packaging Component,0.37
CBA196,32oz Blue - 72657  (BEAM),Customer Supplied,,0.00
CBA198,Bottles 75cc Black PET Round Packer (38-400),Bottle,Multiple,0.13
CBA199,Bottles 25oz Black HDPE (89-400),Bottle,07 Packaging Component,0.55
CBA200,Bottles 250cc Black PET (45-400),Bottle,07 Packaging Component,0.21
CBA201,Bottles 150cc Black PET Round Packer (38-400),Bottle,07 Packaging Component,0.19
CBA202,Bottles 225cc Black HDPE (45-400),Bottle,Multiple,0.22
CBA203,Bottles 2500cc Black HDPE,Bottle,Multiple,0.94
CBA211,120-400 Natural soft touch- BEAM,Bottle,,0.00
CBA212,Bottles 12oz Black HDPE (89-400),Bottle,07 Packaging Component,0.41
CBA213,Bottles 125oz White PET,Bottle,07 Packaging Component,0.32
CBA214,Bottles 250cc White HDPE (45-400)(Alpha),Bottle,250cc White HDPE 45-400 (Alpha,0.27
CBA215,Bottles 100cc White HDPE Packer,Bottle,07 Packaging Component,0.11
CBA216,Bottles 100cc White PET Packer (38-400),Bottle,07 Packaging Component,0.11
CBA218,Bottles 400cc Black PET (45-400),Bottle,07 Packaging Component,0.47
CBA219,Bottles 32oz Natural HDPE (110mm)(Custom Scoop),Bottle,07 Packaging Component,0.40
CBA220,Bottles 100cc White PET (Alpha),Bottle,07 Packaging Component,0.14
CBA221,Bottles 150cc White PET (38-400)(Alpha),Bottle,07 Packaging Component,0.13
CBA222,Bottles 16oz White PET (Alpha),Bottle,07 Packaging Component,0.31
CBA223,Bottles 19oz White PET (Alpha),Bottle,07 Packaging Component,0.00
CBA224,Bottles 200cc White PET (38-400)(Alpha),Bottle,07 Packaging Component,0.23
CBA225,Bottles 225cc White PET (Alpha),Bottle,07 Packaging Component,0.00
CBA226,Bottles 250cc White PET (Alpha)(REVIVE),Bottle,07 Packaging Component,0.16
CBA227,Bottles 25oz White PET (89-400)(Alpha),Bottle,07 Packaging Component,0.67
CBA228,Bottles 300cc White PET (45-400)(Alpha),Bottle,07 Packaging Component,0.35
CBA229,Bottles 400cc White PET (45-400)(Alpha),Bottle,07 Packaging Component,0.41
CBA230,Bottles 44oz White HDPE (Alpha),Bottle,07 Packaging Component,0.00
CBA231,Bottles 500cc White PET (Alpha),Bottle,07 Packaging Component,0.00
CBA232,Bottles 225cc White HDPE (Square),Bottle,07 Packaging Component,0.00
CBA233,Bottles 19oz Light Amber PET (89-400)(Round Packer),Bottle,,0.42
CBA234,Bottles 25oz Black HDPE (89-400)(Pretium),Bottle,,0.31
CBA235,Bottles 625cc White PET (53-400),Bottle,,0.58
CBA236,Bottles 150cc Light Amber PZ PET,Bottle,07 Packaging Component,0.17
CBA237,Canisters 55oz White HDPE 120-144 (317420) (RAW),Bottle,,0.00
CBA238,Canisters 44oz White HDPE 120-400 (101267) (RAW),Bottle,,0.00
CBA239,Canisters 44oz Black HDPE 120-140 (325053)(RAW),Bottle,,0.00
CBA240,Bottles 1 Gallon HDPE 120-140 (324003) (RAW),Bottle,,0.00
CBA241,Canisters 55oz White HDPE 120-144 (317420)(RAW),Bottle,,0.00
CBA242,Bottles 2750cc White HDPE (RAW),Bottle,,0.00
CCA001,Lids 100-400 Black Ribbed,Caps/Lids,07 Packaging Component,0.37
CCA002,Lids 100-400 Blue Smooth (2765),Caps/Lids,07 Packaging Component,0.25
CCA003,Lids 100-400 Red Smooth (1797C),Caps/Lids,07 Packaging Component,0.25
CCA004,Lids 100-400 Silver Ribbed,Caps/Lids,07 Packaging Component,0.00
CCA007,Lids 110-400 Black Ribbed,Caps/Lids,07 Packaging Component,0.27
CCA008,Lids 110-400 Black Smooth,Caps/Lids,07 Packaging Component,0.34
CCA009,Lids 110-400 Orange Smooth,Caps/Lids,07 Packaging Component,0.34
CCA010,Lids 110-400 White Ribbed,Caps/Lids,07 Packaging Component,0.27
CCA011,Lids 110-400 White Smooth,Caps/Lids,07 Packaging Component,0.53
CCA012,Lids 120-400 Black Ribbed,Caps/Lids,07 Packaging Component,0.38
CCA013,Lids 120-400 Black Ribbed Deep Skirt,Caps/Lids,07 Packaging Component,0.36
CCA014,Lids 120-400 Black Smooth Deep Skirt,Caps/Lids,07 Packaging Component,0.23
CCA015,Lids 120-400 Black Smooth Poly Universal Seal,Caps/Lids,07 Packaging Component,0.21
CCA016,Lids 120-400 Light Amber PET,Caps/Lids,07 Packaging Component,0.00
CCA017,Lids 120-400 Orange Smooth,Caps/Lids,07 Packaging Component,0.00
