id,detailed_type,categ_id,default_code,name,sale_ok,purchase_ok,uom_id,uom_po_id,route_ids
setup.product_template.0087,product,Components / Caps - Lids,CCA054,45-400 WHT Smooth,0,1,Units,Units,Buy
setup.product_template.0088,product,Components / Caps - Lids,CCA066,70-400 BLK Smooth Lid,0,1,Units,Units,Buy
setup.product_template.0089,product,Components / Caps - Lids,CCA067,70-400 ORG SM,0,1,Units,Units,Buy
setup.product_template.0090,product,Components / Caps - Lids,CCA068,70-400 WHT Smooth Lid,0,1,Units,Units,Buy
setup.product_template.0091,product,Components / Caps - Lids,CCA072,89-400 Black Ribbed Universal Induction Seal,0,1,Units,Units,Buy
setup.product_template.0092,product,Components / Caps - Lids,CCA073,89-400 Black Ribbed Lid VENTED SEAL,0,1,Units,Units,Buy
setup.product_template.0093,product,Components / Caps - Lids,CCA074,89-400 Black Smooth FS 5-4 Universal Liner,0,1,Units,Units,Buy
setup.product_template.0094,product,Components / Caps - Lids,CCA078,89-400 Clear Smooth Lid,0,1,Units,Units,Buy
setup.product_template.0095,product,Components / Caps - Lids,CCA080,89-400 Orange Smooth Lids Universal FS 5-4,0,1,Units,Units,Buy
setup.product_template.0096,product,Components / Caps - Lids,CCA088,89-400 WHT Ribbed Lid,0,1,Units,Units,Buy
setup.product_template.0097,product,Components / Caps - Lids,CCA089,89-400 WHT Smooth,0,1,Units,Units,Buy
setup.product_template.0098,product,Components / Caps - Lids,CCA092,89-400 Black Smooth/Smooth,0,1,Units,Units,Buy
setup.product_template.0099,product,Components / Caps - Lids,CCA093,B38-400 WHT Pop Lid,0,1,Units,Units,Buy
setup.product_template.0100,product,Components / Caps - Lids,CCA097,100-400 Black Smooth w/ Vented Liner,0,1,Units,Units,Buy
setup.product_template.0101,product,Components / Caps - Lids,CCA099,53-400 White Ribbed,0,1,Units,Units,Buy
setup.product_template.0102,product,Components / Caps - Lids,CCA105,Jacked Factory 45mm Custom Lid,0,1,Units,Units,Buy
setup.product_template.0103,product,Components / Caps - Lids,CCA109,120-400 Natural Soft Touch (BEAM),0,1,Units,Units,Buy
setup.product_template.0104,product,Components / Caps - Lids,CCA110,100-400 White Smooth Lid,0,1,Units,Units,Buy
setup.product_template.0105,product,Components / Caps - Lids,CCA118,89-400 WHT Smooth Foam (Alani Only),0,1,Units,Units,Buy
setup.product_template.0106,product,Components / Caps - Lids,CCA119,110-400 White Smooth Foam Lids (Alani Only),0,1,Units,Units,Buy
setup.product_template.0107,product,Components / Desiccants - Cotton,CDA001,Activated Carbon Packet 1g (Anti-Odor) (Loose),0,1,Units,Units,Buy
setup.product_template.0108,product,Components / Desiccants - Cotton,CDA003,"Cotton 12g Puritan Cotton Coil (18lbs/case) 9,800 each per case",0,1,Units,Units,Buy
setup.product_template.0109,product,Components / Desiccants - Cotton,CDA005,Desiccants 0.5g (Loose),0,1,Units,Units,Buy
setup.product_template.0110,product,Components / Desiccants - Cotton,CDA006,Desiccants 10g (Loose),0,1,Units,Units,Buy
setup.product_template.0111,product,Components / Desiccants - Cotton,CDA007,Desiccants 1g (Loose),0,1,Units,Units,Buy
setup.product_template.0112,product,Components / Desiccants - Cotton,CDA009,Desiccants 5g (Loose),0,1,Units,Units,Buy
setup.product_template.0113,product,Components / Desiccants - Cotton,CDA011,DRI-Card 60x60x0.5mm,0,1,Units,Units,Buy
setup.product_template.0114,product,Components / Desiccants - Cotton,CDA015,Antioxidant packet 20cc FT20,0,1,Units,Units,Buy
setup.product_template.0115,product,Components / Desiccants - Cotton,CDA016,Desiccants 0.5 Gram (Roll Stock),0,1,Units,Units,Buy
