Part Number,Description,Category,Item Type,Unit,Replacement Cost,Vendor Lead Time,QC/Transit Lead Time,Buffer Days,Quality Control Group,Material Cost,Buyer
CBA035,Bottles 150cc Dark Amber PET PX,Bottle (B),Components,Each,0.14,43.00,0,0,07 Packaging Component,0.14,8
CBA036,Bottles 150cc Dark Amber PET PZ,Bottle (B),Components,Each,0.19,43.00,0,0,07 Packaging Component,0.19,8
CBA037,Bottles 150cc Light Amber PET (38-400) Pretium,Bottle (B),Components,Each,0.16,52.00,0,0,07 Packaging Component,0.16,8
CBA038,Bottles 150cc White HDPE (38-400),Bottle (B),Components,Each,0.13,43.00,0,0,07 Packaging Component,0.13,8
CBA039,Bottles 150cc White PET (38-400),Bottle (B),Components,Each,0.13,52.00,0,0,07 Packaging Component,0.13,8
CBA040,Bottles 150cc White HDPE PX,Bottle (B),Components,Each,0.16,52.00,0,0,07 Packaging Component,0.16,8
CBA041,Bottles 16oz Black HDPE,Bottle (B),Components,Each,0.37,52.00,0,0,07 Packaging Component,0.37,8
CBA042,Bottles 16oz Black PET Wide Mouth Jar,Bottle (B),Components,Each,0.45,43.00,0,0,07 Packaging Component,0.45,8
CBA043,16oz BLK PET 89-400,Bottle (B),Components,Each,0.00,0.00,0,0,,0.53,8
CBA044,Bottles 16oz Clear PET (89-400),Bottle (B),Components,Each,0.25,43.00,0,0,07 Packaging Component,0.25,8
CBA045,Bottles 16oz Dark Amber/Black PET (89-400),Bottle (B),Components,Each,0.29,52.00,0,0,07 Packaging Component,0.29,8
CBA046,Bottles 16oz Light Amber PET (89-400),Bottle (B),Components,Each,0.26,52.00,0,0,07 Packaging Component,0.26,8
CBA047,Bottles 16oz White HDPE,Bottle (B),Components,Each,0.42,52.00,0,0,07 Packaging Component,0.42,8
CBA048,Bottles 16oz White PET (89-400),Bottle (B),Components,Each,0.32,43.00,0,0,07 Packaging Component,0.32,8
CBA049,Bottles 175cc Black HDPE,Bottle (B),Components,Each,0.00,85.00,0,0,07 Packaging Component,0.00,8
CBA050,Bottles 175cc Clear PET,Bottle (B),Components,Each,0.15,52.00,0,0,07 Packaging Component,0.15,8
CBA051,Bottles 175cc Cobalt Blue PET,Bottle (B),Components,Each,0.31,52.00,0,0,07 Packaging Component,0.31,8
CBA052,Bottles 175cc Dark Amber PET,Bottle (B),Components,Each,0.15,52.00,0,0,07 Packaging Component,0.15,8
CBA053,Bottles 175cc Light Amber PET (38-400),Bottle (B),Components,Each,0.15,52.00,0,0,07 Packaging Component,0.15,8
CBA054,Bottles 175cc White PX PET,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA055,Bottles 175cc White HDPE Comar,Bottle (B),Components,Each,0.18,52.00,0,0,07 Packaging Component,0.18,8
CBA056,Bottles 175cc White PET,Bottle (B),Components,Each,0.16,43.00,0,0,07 Packaging Component,0.16,8
CBA057,Bottles 180ml Clear PET,Bottle (B),Components,Each,0.45,85.00,0,0,07 Packaging Component,0.45,8
CBA058,Bottles 19oz Black HDPE Jar,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA059,Bottles 19oz Black PET Jar,Bottle (B),Components,Each,0.58,43.00,0,0,07 Packaging Component,0.58,8
CBA060,Bottles 19oz Blue PET,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA061,Bottles 19oz Clear PET,Bottle (B),Components,Each,0.25,52.00,0,0,07 Packaging Component,0.25,8
CBA062,Bottles 19oz Cobalt Blue PET,Bottle (B),Components,Each,0.35,43.00,0,0,07 Packaging Component,0.35,8
CBA063,Bottles 19oz White HDPE,Bottle (B),Components,Each,0.48,52.00,0,0,07 Packaging Component,0.48,8
CBA064,Bottles 19oz White PET Jar,Bottle (B),Components,Each,0.30,52.00,0,0,07 Packaging Component,0.30,8
CBA065,Bottles 2 Gallon Black HDPE Wide Mouth,Bottle (B),Components,Each,1.43,71.00,0,0,07 Packaging Component,1.43,8
CBA066,Bottles 2000cc Black HDPE,Bottle (B),Components,Each,1.33,52.00,0,0,07 Packaging Component,1.33,8
CBA067,Bottles 2000cc Black PET,Bottle (B),Components,Each,0.82,52.00,0,0,07 Packaging Component,0.82,8
CBA068,Bottles 2000cc Clear,Bottle (B),Components,Each,0.96,43.00,0,0,07 Packaging Component,0.96,8
CBA069,Bottles 2000cc Dark Amber PET,Bottle (B),Components,Each,0.88,52.00,0,0,07 Packaging Component,0.88,8
CBA070,Bottles 2000cc White HDPE,Bottle (B),Components,Each,0.96,52.00,0,0,07 Packaging Component,0.96,8
CBA071,Bottles 2000cc White PET,Bottle (B),Components,Each,0.77,57.00,0,0,07 Packaging Component,0.77,8
CBA072,Bottles 200cc Black HDPE (45-400),Bottle (B),Components,Each,0.28,43.00,0,0,07 Packaging Component,0.28,8
CBA073,200cc BLK PET,Bottle (B),Components,Each,0.00,0.00,0,0,,0.00,1
CBA074,200cc Clear PET,Bottle (B),Components,Each,0.00,0.00,0,0,,0.00,1
CBA075,Bottles 200cc Clear PET Packer (38-400),Bottle (B),Components,Each,0.17,43.00,0,0,07 Packaging Component,0.17,8
CBA076,Bottles 200cc Cobalt Blue PET PZ,Bottle (B),Components,Each,0.16,43.00,0,0,07 Packaging Component,0.16,8
CBA077,Bottles 200cc Dark Amber PET,Bottle (B),Components,Each,0.21,43.00,0,0,07 Packaging Component,0.21,8
CBA078,Bottles 200cc Dark Amber PET 100% PCR Round Packer,Bottle (B),Components,Each,0.14,52.00,0,0,07 Packaging Component,0.14,8
CBA079,Bottles 200cc Light Amber PET,Bottle (B),Components,Each,0.16,43.00,0,0,07 Packaging Component,0.16,8
CBA080,200cc Light Amber PET (38-400),Bottle (B),Components,Each,0.00,0.00,0,0,,0.16,1
CBA081,Bottles 200cc White HDPE (38-400),Bottle (B),Components,Each,0.24,43.00,0,0,07 Packaging Component,0.24,8
