Part Number,Description,Category,Item Type,Unit,Replacement Cost,Vendor Lead Time,QC/Transit Lead Time,Buffer Days,Quality Control Group,Material Cost,Buyer
RHA667,Guggul Extract 2.5% (EHP),Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,38.50,8
RHA668,Huperzia serrata 1% Huperzine A (EHP),Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,RHA668,980.00,8
RHA669,Guarana Extract 4:1 (EHP),Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,23.00,8
RHA670,Evodiamine 98% (EHP),Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,410.00,8
RHA671,Red Yeast Rice Powder <0.1%,Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM (botanical),10.00,8
RHA672,Grape Seed 4:1 PE,Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,15.00,8
RHA673,Arjuna Extract 10.0% Tannins,Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM (botanical),25.00,8
RHA674,Oatmeal flower powder,Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,0.00,8
RHA675,Burdock Root Powder,Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,0.00,8
RHA676,Bladderwrack Leaf Powder,Herbals/Botanicals (H),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,0.00,8
ROA002,Bee pollen,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,24.96,22
ROA003,CoQ10,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,430.00,1
ROA004,Fructooligosaccharides 90%,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA004,0.00,1
ROA005,Fructooligosaccharides 95%,Others (O),Raw Materials,Kilogram,9.50,57.00,0,0,ROA005,9.50,22
ROA006,Luteolin 98%,Others (O),Raw Materials,Kilogram,550.00,36.00,0,0,ROA006,550.00,22
ROA007,Lycopene 10% Powder,Others (O),Raw Materials,Kilogram,231.75,57.00,0,0,ROA007,231.75,22
ROA008,Lycopene 20% Powder,Others (O),Raw Materials,Kilogram,412.00,57.00,0,0,ROA008,412.00,22
ROA009,Rephyll beta-carophyllene,Others (O),Raw Materials,Kilogram,149.35,57.00,0,0,ROA009,149.35,22
ROA010,Vanadyl sulfate,Others (O),Raw Materials,Kilogram,143.00,57.00,0,0,ROA010,143.00,22
ROA011,"Beta Glucan 20% 1,3",Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA011,28.50,22
ROA012,2-Amino-5-Methylhexane HCl (J. regia),Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,197.00,22
ROA013,2-aminoisoheptane,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,ROA013,228.50,22
ROA014,"3,4-Divanillyltetrahydrofuran 95%",Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,200.00,1
ROA015,"3,5-Diiodothyronine (T2)",Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,280.00,22
ROA016,5a-Hydroxylaxogenin,Others (O),Raw Materials,Kilogram,0.00,43.00,0,0,ROA016,865.00,22
ROA016z,Creatine Monohydrate 200 Mesh,Others (O),Raw Materials,Kilogram,0.00,90.00,0,0,,0.00,1
ROA018,"6,7-Dihydroxybergamottin 90%",Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,650.00,22
ROA021,7-Keto DHEA,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,"1,000.00",22
ROA022,"Abieta-8,11,13-trien18-oic acid",Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,88.00,1
ROA023,Agmass Agmatine Sulfate,Others (O),Raw Materials,Kilogram,37.89,43.00,0,0,ROA023,37.89,22
ROA024,Agmatine Sulfate (fermented),Others (O),Raw Materials,Kilogram,15.45,43.00,0,0,ROA024,15.45,22
ROA025,Arimistane,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,ROA025,"1,000.00",22
ROA026,Astaxanthin 3%,Others (O),Raw Materials,Kilogram,169.95,43.00,0,0,ROA026,169.95,22
ROA027,Astaxanthin 5%,Others (O),Raw Materials,Kilogram,0.00,43.00,0,0,ROA027,187.50,22
ROA028,"Beef liver, undefatted #95F",Others (O),Raw Materials,Kilogram,22.60,57.00,0,0,ROA028,22.60,22
ROA030,Beta cyclodextrin,Others (O),Raw Materials,Kilogram,6.00,0.00,0,0,,6.00,22
ROA031,"Beta Glucan 85%, (1,3 & 1,6)  from S. cerevisiae",Others (O),Raw Materials,Kilogram,84.98,50.00,0,0,ROA031,84.98,22
ROA032,Bifidobacterium bifidum,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
ROA033,Boric Acid,Others (O),Raw Materials,Kilogram,18.97,56.00,0,0,ROA033,18.97,22
ROA035,Bromelain 2400 GDU/g,Others (O),Raw Materials,Kilogram,56.65,57.00,0,0,01 RM (botanical),56.65,22
ROA036,Caffeine Anhydrous,Others (O),Raw Materials,Kilogram,10.95,57.00,0,0,ROA036,10.95,22
ROA037,Chondroitin sulfate 90% ODB by CPC 72% as is,Others (O),Raw Materials,Kilogram,46.00,57.00,0,0,ROA037,46.00,22
ROA038,Citicoline sodium (generic),Others (O),Raw Materials,Kilogram,412.00,57.00,0,0,ROA038,412.00,22
ROA041,"Colostrum, bovine 10%",Others (O),Raw Materials,Kilogram,19.00,57.00,0,0,ROA041,19.00,22
ROA042,CoQ10 (Ubiquinone),Others (O),Raw Materials,Kilogram,225.00,57.00,0,0,ROA042,225.00,22
ROA043,Deer antler velvet (Chinese),Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA043,115.00,22
ROA044,"Abieta-8,11,13-trien18-oic acid",Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA044,200.00,22
ROA045,DHA (Algal) 10%,Others (O),Raw Materials,Kilogram,48.93,57.00,0,0,ROA045,48.93,22
ROA049,DMAE DL-Bitartrate,Others (O),Raw Materials,Kilogram,7.47,57.00,0,0,ROA049,7.47,22
ROA050,Gamma-butyrbetaine ethyl ester chloride,Others (O),Raw Materials,Kilogram,150.00,56.00,0,0,ROA050,150.00,22
ROA051,Glucosamine HCL,Others (O),Raw Materials,Kilogram,9.50,57.00,0,0,ROA051,9.50,22
ROA052,Glucosamine Sulfate 2KCl,Others (O),Raw Materials,Kilogram,10.00,57.00,0,0,ROA052,10.00,22
ROA054,Glucuronolactone,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA054,26.00,22
ROA056,Higenamine HCl,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA056,0.00,22
ROA057,Hordenine HCl,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA057,0.00,22
ROA058,Hyaluronic Acid (from sodium hyaluronate),Others (O),Raw Materials,Kilogram,65.92,57.00,0,0,ROA058,65.92,22
ROA059,Idebenone,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA059,0.00,1
ROA061,Lactobacillus acidophilus,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
ROA063,Lipase from Candida cylindracea,Others (O),Raw Materials,Kilogram,652.75,57.00,0,0,ROA063,652.75,22
ROA067,Melatonin,Others (O),Raw Materials,Kilogram,90.64,57.00,0,0,ROA067,90.64,22
ROA068,N-Methyl-D-Aspartic Acid,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA068,0.00,1
ROA069,N-Phenethyldimethylamine Citrate (Eria),Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,145.00,22
ROA070,N-Phenethyldimethylamine HCl (Eria jarensis),Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,147.00,22
ROA071,Octopamine,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,ROA071,0.00,22
ROA072,Ox bile concentrate,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA072,87.50,1
ROA073,Palatinose (Isomaltulose),Others (O),Raw Materials,Kilogram,6.21,57.00,0,0,ROA073,6.21,22
ROA074,Para-Aminobenzoic acid (PABA),Others (O),Raw Materials,Kilogram,27.30,43.00,0,0,ROA074,27.30,22
ROA075,Pepsin 1:3000,Others (O),Raw Materials,Kilogram,32.45,57.00,0,0,ROA075,32.45,22
ROA076,4-Amino-3-phenylbutyric acid HCl,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA076,85.00,22
ROA077,Beta-Phenylethylamine HCl,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA077,20.85,22
ROA078,Phosphatidylcholine 35%,Others (O),Raw Materials,Kilogram,18.00,56.00,0,0,ROA078,18.00,22
ROA079,Phosphatidylcholine 40%,Others (O),Raw Materials,Kilogram,78.80,57.00,0,0,ROA079,78.80,22
ROA080,Phosphatidylserine 20%,Others (O),Raw Materials,Kilogram,128.75,52.00,0,0,ROA080,128.75,22
ROA081,phosphatidylserine 50%,Others (O),Raw Materials,Kilogram,252.35,57.00,0,0,ROA081,252.35,22
ROA084,Pregnenolone,Others (O),Raw Materials,Kilogram,345.05,57.00,0,0,ROA084,345.05,22
ROA085,Probiotic B. animalis B420 400B CFU/g,Others (O),Raw Materials,Kilogram,"1,300.00",57.00,0,0,ROA085,"1,300.00",22
ROA086,Bifidobacterium longum 100B,Others (O),Raw Materials,Kilogram,287.00,57.00,0,0,ROA086,287.00,22
ROA087,Probiotic L. gasseri Lg36 50B CFU/g,Others (O),Raw Materials,Kilogram,226.00,57.00,0,0,ROA087,226.00,22
ROA088,Probiotic Lactobacillus paracasei 700B CFU/g,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA088,"1,054.76",22
ROA089,Probiotic Lactobacillus plantarum DSM-6595 700B CFU/g,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA089,"1,100.00",1
ROA090,Pyrroloquinoline quinone (PQQ) >98%,Others (O),Raw Materials,Kilogram,"2,200.00",42.00,0,0,ROA090,"2,200.00",22
ROA091,S-Adenosylmethionine Tosylate,Others (O),Raw Materials,Kilogram,271.92,57.00,0,0,ROA091,271.92,22
ROA092,Sodium BHB,Others (O),Raw Materials,Kilogram,16.75,57.00,0,0,ROA092,16.75,22
ROA094,"Sodium gluconate, >10.43% Na",Others (O),Raw Materials,Kilogram,4.33,32.00,0,0,ROA094,4.33,22
ROA095,Superoxide dismutase,Others (O),Raw Materials,Kilogram,97.00,57.00,0,0,ROA095,97.00,22
ROA096,Synephrine HCl,Others (O),Raw Materials,Kilogram,140.00,57.00,0,0,ROA096,140.00,22
ROA098,Tetradecylthioacetic acid,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA098,85.00,22
ROA100,Uridine-5-monophosphate,Others (O),Raw Materials,Kilogram,139.05,57.00,0,0,ROA100,139.05,22
ROA104,Vinpocetine,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
ROA105,Whole egg powder,Others (O),Raw Materials,Kilogram,36.99,57.00,0,0,ROA105,36.99,22
ROA106,Whole milk powder P-20538,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA106,0.00,22
ROA107,Whole milk solids,Others (O),Raw Materials,Kilogram,1.75,57.00,0,0,ROA107,1.75,22
ROA108,Xylooligosacharrides 95%,Others (O),Raw Materials,Kilogram,0.00,67.00,0,0,ROA108,29.00,1
ROA110,Beta-Nicotinamide mononucleotide (NMN),Others (O),Raw Materials,Kilogram,380.00,57.00,0,0,ROA110,380.00,22
ROA111,"Calcium BHB, >14.5% Ca",Others (O),Raw Materials,Kilogram,17.00,57.00,0,0,ROA111,17.00,22
ROA112,Calcium D-Glucarate,Others (O),Raw Materials,Kilogram,86.75,57.00,0,0,ROA112,86.75,22
ROA113,Calcium disodium EDTA Powder,Others (O),Raw Materials,Kilogram,17.65,57.00,0,0,ROA113,17.65,22
ROA114,Calcium Pyruvate,Others (O),Raw Materials,Kilogram,22.15,57.00,0,0,ROA114,22.15,22
ROA115,Choline DL-Bitartrate COATED,Others (O),Raw Materials,Kilogram,9.17,57.00,0,0,ROA115,9.17,22
ROA116,Choline L-Bitartrate COATED,Others (O),Raw Materials,Kilogram,9.68,57.00,0,0,ROA116,9.68,22
ROA117,Choline-DL-Bitartrate,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA117,5.90,22
ROA118,"Magnesium BHB, >8.3% Mg",Others (O),Raw Materials,Kilogram,19.17,57.00,0,0,ROA118,19.17,22
ROA119,CLA 60%,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA119,24.50,22
ROA120,Calcium HMB,Others (O),Raw Materials,Kilogram,21.63,52.00,0,0,ROA120,21.63,22
ROA127,"Deer antler velvet, New Zealand",Others (O),Raw Materials,Kilogram,0.00,61.00,0,0,ROA127,330.86,22
ROA129,Noopept,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA129,0.00,22
ROA141,Calcium HMB (HD) BD>0.65g/mL,Others (O),Raw Materials,Kilogram,33.00,57.00,0,0,ROA141,33.00,22
ROA142,Citicoline BASE,Others (O),Raw Materials,Kilogram,290.00,57.00,0,0,ROA142,290.00,22
ROA143,Chitosan,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA143,0.00,22
ROA144,Cetyl myristoleate,Others (O),Raw Materials,Kilogram,78.00,57.00,0,0,ROA144,78.00,22
ROA145,Alpha-GPC 50% DCP,Others (O),Raw Materials,Kilogram,60.00,43.00,0,0,ROA145,60.00,22
ROA146,Alpha Lipoic Acid,Others (O),Raw Materials,Kilogram,76.22,50.00,0,0,ROA146,76.22,22
ROA147,Glycerol monostearate,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA147,4.63,22
ROA148,TUDCA,Others (O),Raw Materials,Kilogram,475.00,57.00,0,0,ROA148,475.00,22
ROA151,N-Methyl-tyramine,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA151,0.00,22
ROA152,N-Acetyl-D-Glucosamine,Others (O),Raw Materials,Kilogram,23.18,57.00,0,0,ROA152,23.18,22
ROA153,"N,N-Dimethylglycine",Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA153,0.00,1
ROA154,L-Glutathione (High Density),Others (O),Raw Materials,Kilogram,168.00,57.00,0,0,ROA154,168.00,22
ROA155,Glutathione,Others (O),Raw Materials,Kilogram,280.00,57.00,0,0,ROA155,280.00,22
ROA156,Gamma aminobutyric acid (GABA),Others (O),Raw Materials,Kilogram,7.42,57.00,0,0,ROA156,7.42,22
ROA157,*DO NOT USE* Gamma aminobutyric acid (GABA),Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA157,10.80,22
ROA158,DL-Halostachine,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA158,110.00,22
ROA159,Dicreatine Malate,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA159,0.00,1
ROA160,Creatinol-O-Phopshate,Others (O),Raw Materials,Kilogram,0.00,56.00,0,0,ROA160,17.00,22
ROA161,Creatine pyruvate,Others (O),Raw Materials,Kilogram,0.00,78.00,0,0,ROA161,0.00,22
ROA162,Creatine Monohydrate (200 mesh),Others (O),Raw Materials,Kilogram,9.50,57.00,0,0,ROA162,9.50,22
ROA162z,Creating Monohydrate 200 Mesh,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
ROA163,Creatine HCl,Others (O),Raw Materials,Kilogram,28.00,57.00,0,0,ROA163,28.00,22
ROA164,"Coated sodium R-ALA, WT-15203A",Others (O),Raw Materials,Kilogram,27.93,57.00,0,0,ROA164,27.93,22
ROA165,Collagen Hydrolyzed Bovine Ultrapep 5000BD,Others (O),Raw Materials,Kilogram,13.34,57.00,0,0,ROA165,13.34,22
ROA166,Trehalose,Others (O),Raw Materials,Kilogram,3.85,57.00,0,0,Multiple,3.85,22
ROA167,D-Ribose,Others (O),Raw Materials,Kilogram,19.50,57.00,0,0,ROA167,19.50,22
ROA168,D-Mannose,Others (O),Raw Materials,Kilogram,39.14,36.00,0,0,ROA168,39.14,22
ROA169,Butter powder goFAT (grass fed),Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA169,0.00,22
ROA170,Butter powder BDF0006C,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA170,4.10,22
ROA171,MSM 40-80 mesh (anti-caking),Others (O),Raw Materials,Kilogram,7.62,57.00,0,0,ROA171,7.62,22
ROA172,"Collagen, Hydrolyzed (Bovine) Connoils 26101",Others (O),Raw Materials,Kilogram,14.75,57.00,0,0,ROA172,14.75,22
ROA173,"DO NOT USE Collagen, hydrolyzed (Bovine) C2500",Others (O),Raw Materials,Kilogram,8.10,57.00,0,0,ROA173,9.10,22
ROA175,Potassium nitrate (food grade),Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,,10.00,22
ROA176,Inositol Hexaphosphate,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA176,0.00,22
ROA177,Inositol,Others (O),Raw Materials,Kilogram,19.95,57.00,0,0,ROA177,19.95,22
ROA178,Picamilon,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
ROA179,"Deer antler velvet, New Zealand",Others (O),Raw Materials,Kilogram,0.00,62.00,0,0,ROA179,400.00,1
ROA181,Creatine   HCl,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,"2,500.00",22
ROA182,L-Glutamic acid HCl,Others (O),Raw Materials,Kilogram,0.00,57.00,0,0,ROA182,0.00,22
ROA183,Vanadium amino acid chelate 0.,Others (O),Raw Materials,Kilogram,9.50,50.00,0,0,ROA183,9.50,22
ROA189,Bifidobacterium infantis BI45 100B,Others (O),Raw Materials,Kilogram,625.00,57.00,0,0,ROA189,625.00,22
ROA190,Lactobacillus Casei 500B CFU,Others (O),Raw Materials,Kilogram,675.00,57.00,0,0,ROA190,675.00,22
ROA195,Lactobacillus Brevis 100B CFU,Others (O),Raw Materials,Kilogram,331.00,57.00,0,0,ROA195,331.00,22
ROA196,Lactobacillus rhamnosus UALr-06 200B CFU,Others (O),Raw Materials,Kilogram,316.00,57.00,0,0,ROA196,316.00,22
ROA197,Lactobacillus acidophilus 200B CFU,Others (O),Raw Materials,Kilogram,325.00,57.00,0,0,ROA197,325.00,22
ROA198,R-Alpha Lipoic Acid,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
ROA199,Sodium R-Alpha Lipoic Acid,Others (O),Raw Materials,Kilogram,368.00,52.00,0,0,ROA199,368.00,22
ROA200,Tianeptine hemisulfate monohydrate,Others (O),Raw Materials,Kilogram,0.00,0.00,0,0,ROA200,0.00,22
ROA201,Organic Fructooligosaccharides (FOS) (from inulin),Others (O),Raw Materials,Kilogram,12.36,43.00,0,0,ROA201,12.36,22
ROA202,"Papain 40,000 USP/mg",Others (O),Raw Materials,Kilogram,110.00,32.00,0,0,ROA075,110.00,22
ROA203,Creatine Monohydrate (200 mesh) GNC,Others (O),Raw Materials,Kilogram,9.50,57.00,0,0,ROA203,9.50,22
ROA204,Phosphoric Acid 75% FG,Others (O),Raw Materials,Kilogram,0.00,52.00,0,0,ROA154,195.00,1
ROA205,Creatine Monohydrate (200 mesh) D,Others (O),Raw Materials,Kilogram,0.00,45.00,0,0,,30.00,1
ROA206,Inositol  D,Others (O),Raw Materials,Kilogram,0.00,14.00,0,0,ROA177,27.00,5
ROA207,INTESTINAL FORTITUDE SUPPLIED MagMed Colostrum Capsules,Customer Supplied (S),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,0.00,21
ROA208,Lithium Orate 3.8%,Others (O),Raw Materials,Kilogram,121.98,64.00,0,0,01 RM,121.98,22
ROA209,Advance Probiotic Complex,Others (O),Raw Materials,Kilogram,381.98,52.00,0,0,01 RM,381.98,22
ROA210,Inositol NF,Others (O),Raw Materials,Kilogram,25.24,64.00,0,0,01 RM,25.24,22
ROA211,Adrenal Concentrate (Bovine),Others (O),Raw Materials,Kilogram,67.98,62.00,0,0,ROA211,67.98,22
ROA212,Probiotic Blend 396.04B,Others (O),Raw Materials,Kilogram,728.11,61.00,0,0,01 RM,728.11,22
ROA213,Collagen Hydrolyzed Bovine C2501B,Others (O),Raw Materials,Kilogram,10.25,61.00,0,0,ROA213,10.25,22
ROA214,D-Chiro-Inositol,Others (O),Raw Materials,Kilogram,409.94,61.00,0,0,ROA214,409.94,22
ROA215,Probiotic 9 Blend,Others (O),Raw Materials,Kilogram,140.60,61.00,0,0,011 Micro,140.60,22
ROA216,Hydrolyzed Marine Collagen Peptide,Others (O),Raw Materials,Kilogram,22.15,61.00,0,0,01 RM,22.15,22
ROA217,Creatine Monohydrate (200 mesh) RAW,Others (O),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,5.90,22
ROA218,HIgGH Gold Colostrum 40%,Others (O),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,108.00,22
RPA001,"Almond protein, 58% protein UP11100418 (Noosh)",Protein (P),Raw Materials,Kilogram,21.49,50.00,0,0,RPA001,21.49,21
RPA002,Brown rice protein,Protein (P),Raw Materials,Kilogram,0.00,0.00,0,0,RPA002,8.00,21
RPA003,Calcium caseinate,Protein (P),Raw Materials,Kilogram,0.00,52.00,0,0,RPA003,0.00,1
RPA006,"Egg white isolate, instant, 8090 SF",Protein (P),Raw Materials,Kilogram,34.29,64.00,0,0,RPA006,34.29,21
RPA007,Hemp seed 50% protein,Protein (P),Raw Materials,Kilogram,3.31,67.00,0,0,RPA007,3.31,21
RPA008,Micellar casein protein (instant),Protein (P),Raw Materials,Kilogram,11.35,52.00,0,0,RPA008,11.35,21
RPA009,Milk protein isolate,Protein (P),Raw Materials,Kilogram,36.91,82.00,0,0,RPA009,36.91,21
RPA010,Mung bean protein 16929,Protein (P),Raw Materials,Kilogram,17.50,52.00,0,0,RPA010,17.50,21
RPA011,Pea protein isolate >80%,Protein (P),Raw Materials,Kilogram,4.64,43.00,0,0,RPA011,4.64,21
RPA012,Pumpkin seed protein >73% protein (organic),Protein (P),Raw Materials,Kilogram,20.50,43.00,0,0,RPA012,20.50,21
RPA013,Pumpkin seed protein 70% (Smooth),Protein (P),Raw Materials,Kilogram,0.00,112.00,0,0,,0.00,22
RPA014,Pumpkin seed protein 75%,Protein (P),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
RPA015,Quinoa protein,Protein (P),Raw Materials,Kilogram,49.58,36.00,0,0,RPA015,49.58,21
RPA016,Soy protein isolate YP928C,Protein (P),Raw Materials,Kilogram,10.06,52.00,0,0,RPA016,10.06,21
RPA017,Sunflower seed protein 16604,Protein (P),Raw Materials,Kilogram,17.00,78.00,0,0,RPA017,17.00,21
RPA018,Watermelon seed protein 75%,Protein (P),Raw Materials,Kilogram,27.00,43.00,0,0,RPA018,27.00,21
RPA019,Whey protein conc (OFP223i),Protein (P),Raw Materials,Kilogram,12.79,112.00,0,0,RPA019,12.79,21
RPA020,"Whey protein concentrate 80% 100283, m (DO NOT USE)in 77% as-is",Protein (P),Raw Materials,Kilogram,12.79,52.00,0,0,RPA020,12.79,21
RPA021,PIN 100283 Milk Specialties,Protein (P),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,22
RPA022,Whey protein hydrolysate >77% protein 103406 (soy free),Protein (P),Raw Materials,Kilogram,0.00,52.00,0,0,RPA022,8.19,21
RPA023,">77% protein, 3% hydrolyzed, soy lecithin",Protein (P),Raw Materials,Kilogram,0.00,52.00,0,0,RPA023,4.15,21
RPA024,">77% protein, partially hydrolyzed",Protein (P),Raw Materials,Kilogram,0.00,0.00,0,0,,7.08,22
RPA025,Whey protein isolate (Provon 395 SFL),Protein (P),Raw Materials,Kilogram,19.98,82.00,0,0,RPA025,19.98,21
RPA026,DO NOT USE Whey protein isolate 90% 101006,Protein (P),Raw Materials,Kilogram,19.84,63.00,0,0,RPA026,19.84,21
RPA027,">86% protein spec, sunflower lecithin, rBGH free",Protein (P),Raw Materials,Kilogram,7.72,67.00,0,0,RPA027,7.72,21
RPA028,"Whey protein isolate, SFL, >87% Protein  103567-102218",Protein (P),Raw Materials,Kilogram,0.00,52.00,0,0,RPA028,15.06,21
RPA029,"Whey protein isolate, SFL, NLT 87% protein, grass fed",Protein (P),Raw Materials,Kilogram,20.06,67.00,0,0,RPA029,20.06,21
RPA030,Lacprodan WPI 90% w/Sun,Protein (P),Raw Materials,Kilogram,13.78,112.00,0,0,RPA030,13.78,21
RPA031,Whey protein concentrate 104151,Protein (P),Raw Materials,Kilogram,0.00,52.00,0,0,RPA031,10.16,21
RPA032,Organic Rice Protein 80% Isolate,Protein (P),Raw Materials,Kilogram,6.70,52.00,0,0,RPA032,6.70,21
RPA033,"Whey protein hydrolysate >87% protein, 3% hydrolyzed, sunflower lecithin 104038",Protein (P),Raw Materials,Kilogram,12.57,52.00,0,0,RPA022,12.57,21
RPA034,Pronativ whey protein,Protein (P),Raw Materials,Kilogram,18.17,63.00,0,0,RPA034,18.17,21
RPA035,BiPro 9511 instantized whey 95%,Protein (P),Raw Materials,Kilogram,0.00,67.00,0,0,RPA035,0.00,21
RPA036,Whey protein concentrate 80% (Grass Fed) 104383,Protein (P),Raw Materials,Kilogram,5.85,67.00,0,0,RPA036,5.85,21
RPA039,Whey Protein Isolate 90% (Leprino),Protein (P),Raw Materials,Kilogram,0.00,52.00,0,0,RPA026,16.98,1
RPA041,"Pea protein isolate, organic",Protein (P),Raw Materials,Kilogram,6.39,63.00,0,0,RPA041,6.39,21
RPA042,Brown Rice Protein Isolate 80% (Organic),Protein (P),Raw Materials,Kilogram,0.00,67.00,0,0,RPA042,5.25,21
RPA043,Whey protein isolate 90% Fonterra,Protein (P),Raw Materials,Kilogram,14.03,67.00,0,0,RPA026,14.03,21
RPA044,"Whey protein isolate, SFL, >87% protein, 102218  D",Protein (P),Raw Materials,Kilogram,0.00,0.00,0,0,RPA028,16.98,1
RPA045,Whey protein concentrate 104151  D,Protein (P),Raw Materials,Kilogram,0.00,21.00,0,0,RPA031,12.90,1
RPA046,Instant Whey Protein Isolate 90 102218-119070,Protein (P),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,0.00,21
RPA047,Whey protein isolate 90% Leprino (RAW),Protein (P),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,0.00,21
RPA048,Instant Whey Protein Isolate 90% Grass Fed 104384,Protein (P),Raw Materials,Kilogram,0.00,61.00,0,0,01 RM,0.00,21
RSA001,AMBROSIA SUPPLIED C8Vantage caprylyic TG,Customer Supplied (S),Raw Materials,Kilogram,0.00,52.00,0,0,,0.00,21
RSA002,Antaeus Labs suppled,Customer Supplied (S),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
RSA003,ANTAEUS SUPPLIED Broccoli Sprout PE,Customer Supplied (S),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
RSA004,ANTAEUS SUPPLIED Ligustrazine,Customer Supplied (S),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
RSA005,ANTAEUS SUPPLIED Magnolia officinalis,Customer Supplied (S),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
RSA006,Antaeus Labs supplie,Customer Supplied (S),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
RSA007,Ursolic Acid-Cyclodextrin Complex,Customer Supplied (S),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
RSA008,Vitamin C-2-Phosphate,Customer Supplied (S),Raw Materials,Kilogram,0.00,0.00,0,0,,0.00,1
RSA009,ANTIAGING SUPPLIED Beta-Nicotinamide mononucleotide NMN,Customer Supplied (S),Raw Materials,Kilogram,0.00,52.00,0,0,,0.00,21
